Program/Agency Name,Project Name,Sub-Project Name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,Total 10 Year,Ward Number,Ward,Category
Corporate Real Estate Management,Office Modernization Program,Modern TO - Workplace Modernization,35570,33100,22500,300,0,0,0,0,0,0,91470,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Real Estate Services,Security bollards Union Stn Traffic By-Law signage,400,0,0,0,0,0,0,0,0,0,400,10,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Real Estate Services,SOGR LEASED FACILITIES/PROPERTIES 2022,700,0,0,0,0,0,0,0,0,0,700,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Real Estate Services,Strategic Projects - Feasibility 2023,750,0,0,0,0,0,0,0,0,0,750,CW,City Wide,Service Improvement and Enhancement
Corporate Real Estate Management,Real Estate Services,Security bollards Union Stn Traffic By-Law signage,-2000,0,2000,0,0,0,0,0,0,0,0,10,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Real Estate Services,New Etobicoke CC - Phase 4 Tender & Construction,-90938.34,-25633,-88992.13,-21253,0,0,0,0,0,0,-226816.47,3,Etobicoke-Lakeshore,Service Improvement and Enhancement
Corporate Real Estate Management,Re-roofing,VarLocs-SOGR Re-roofing 2021,-2188,1500,688,0,0,0,0,0,0,0,0,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-SOGR Building Envelope 2020,1500,0,0,0,0,0,0,0,0,0,1500,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Structural/Building Envelope,71 Front W-Union Station-Var SOGR 2021,4000,0,0,0,0,0,0,0,0,0,4000,10,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Structural/Building Envelope,2023 Reduction Target - SOGR Envelope 2019,-900,0,0,0,0,0,0,0,0,0,-900,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"4560 SHEPPARD AVE E-Replace Fire Alarm, Install Co",0,169,0,0,0,0,0,0,0,0,169,23,Scarborough-North,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,ECC - Critical SOGR Small Capital Work,85,300,0,0,0,0,0,0,0,0,385,2,Etobicoke Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,FM Elevator Program 2021,-1129,-471,1000,600,0,0,0,0,0,0,0,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Barrier Free/Equity,Var Locs-AODA-Phase 2,0,31742,0,4001,5000,0,0,0,0,0,40743,CW,City Wide,Legislated
Corporate Real Estate Management,Barrier Free/Equity,Var Locs-AODA-Phase 2,12094,0,0,0,0,0,0,0,0,0,12094,CW,City Wide,Legislated
Corporate Real Estate Management,USR - Professional Services,Union Station Enhancement Project (USEP) Pkg 1,372,526,0,0,0,0,0,0,0,0,898,10,Spadina-Fort York,Service Improvement and Enhancement
Fleet Services,"Fuel Site Closures, Upgrades & Replacement","FSD - Fuel Site Closure, Upgrade & Replace - 2023",206,1859.2,0,0,0,0,0,0,0,0,2065.2,CW,City Wide,State of Good Repair
Fleet Services,EDCT - Fleet Replacement,EDCT - Fleet Replacement - 2023,0,118.5,0,0,0,0,0,0,0,0,118.5,CW,City Wide,State of Good Repair
Fleet Services,Sustainable Fleet Project,Sustainable Fleet Project - 2023,54,0,0,0,0,0,0,0,0,0,54,CW,City Wide,Legislated
Fleet Services,ZEV Fleet Replacement,ZEV Fleet Replacement - 2021,0,0,0,0,0,0,0,0,0,0,0,CW,City Wide,Legislated
Fleet Services,Fleet - Garage Security,FSD - Garage Security - 2021,0,0,0,0,0,0,0,0,0,0,0,CW,City Wide,Health and Safety
Fleet Services,Public Health  - Fleet Replacement,PH - Fleet Replacement - 2023,0,352,0,0,0,0,0,0,0,0,352,CW,City Wide,State of Good Repair
Technology Services,Corporate Initiatives,2023 Reduction Target-SDFA Online Grant Mgmt Sys,-40,0,0,0,0,0,0,0,0,0,-40,CW,City Wide,Service Improvement and Enhancement
Technology Services,Application Systems,eSignature Project,-501,38,0,0,0,0,0,0,0,0,-463,CW,City Wide,Growth Related
Technology Services,Corporate Planning & Management,Artificial Intelligence (AI) for SSHA and TPH,0,471,0,0,0,0,0,0,0,0,471,CW,City Wide,Service Improvement and Enhancement
Technology Services,Fleet Services,"Fleet Services Driver, Accident and Fine Mgmt",0,1258,0,0,0,0,0,0,0,0,1258,CW,City Wide,Service Improvement and Enhancement
Technology Services,Innovation Partnership,ConnectTO - Network Utility,0,500,0,0,0,0,0,0,0,0,500,CW,City Wide,Service Improvement and Enhancement
Technology Services,Risk Management,Access Control Self Serve,0,0,0,0,0,0,0,0,0,0,0,CW,City Wide,Service Improvement and Enhancement
Technology Services,Network Upgrade,Disaster Recovery,453,0,0,0,0,0,0,0,0,0,453,CW,City Wide,State of Good Repair
Technology Services,Data Centralization,Modernized Data Center Architecture,-2927,0,0,0,0,0,0,0,0,0,-2927,CW,City Wide,Service Improvement and Enhancement
Technology Services,Technology Infrastructure,Business Applications Service Monitoring,24,0,0,0,0,0,0,0,0,0,24,CW,City Wide,State of Good Repair
Technology Services,Digital Modernization,2023 Reduction Target-ServiceNow,-970,0,0,0,0,0,0,0,0,0,-970,CW,City Wide,Service Improvement and Enhancement
Technology Services,Digital Modernization,Office 365,1490,0,0,0,0,0,0,0,0,0,1490,CW,City Wide,Service Improvement and Enhancement
Technology Services,OEM Improvements,OEM Business Continuity Improvements,200,0,0,0,0,0,0,0,0,0,200,CW,City Wide,Service Improvement and Enhancement
Technology Services,Application Systems,Enterprise Business Intelligence Implementation,-200,0,0,0,0,0,0,0,0,0,-200,CW,City Wide,Service Improvement and Enhancement
Technology Services,Application Systems,2023 Reduction Target-Open Data Master Plan Impl,-158,0,0,0,0,0,0,0,0,0,-158,CW,City Wide,Service Improvement and Enhancement
Technology Services,Corporate Planning & Management,2023 Reduction Target-API Cloud Migration,-148,0,0,0,0,0,0,0,0,0,-148,CW,City Wide,State of Good Repair
Technology Services,BUSINESS SUSTAINMENT SYSTEMS,IBMS Review & Transformation,-800,0,0,0,0,0,0,0,0,0,-800,CW,City Wide,State of Good Repair
Technology Services,Technology Infrastructure,2023 Reduction Target-Data Centre Zones Impl,-4,0,0,0,0,0,0,0,0,0,-4,CW,City Wide,Growth Related
Environment & Climate Division,Sustainable Energy Plan - Various,Community Initiatives - Existing Building Retrofit,5000,0,0,0,0,0,0,0,0,0,5000,CW,City Wide,Service Improvement and Enhancement
Environment & Climate Division,Sustainable Energy Plan - Various,Community Initiatives - Existing Building Retrofit,5000,0,0,0,0,0,0,0,0,0,5000,CW,City Wide,Service Improvement and Enhancement
Chief Information Security Office,Corporate Planning & Management,MSSP,468,0,0,0,0,0,0,0,0,0,468,CW,City Wide,Service Improvement and Enhancement
Chief Information Security Office,Corporate Planning & Management,Forensics,117,0,0,0,0,0,0,0,0,0,117,CW,City Wide,Service Improvement and Enhancement
Fleet Services,"Shelter, Support & Housing Admin-Fleet Replacement",SSHA - Fleet Replacement - 2029,0,0,0,0,0,0,116.1,49.8,0,0,165.9,CW,City Wide,State of Good Repair
Fleet Services,Toronto Water - Fleet Replacement,TW - Fleet Replacement - 2029,0,0,0,0,0,0,5927.5,5927.5,0,0,11855,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"5100 Yonge - Storm & Sanitary Piping, Valves",0,0,0,0,0,0,30,238,0,0,268,18,Willowdale,State of Good Repair
Fleet Services,Fleet Services - Fleet Replacement,FSD - Fleet Replacement - 2026,0,0,0,49.2,21.1,0,0,0,0,0,70.3,CW,City Wide,State of Good Repair
Fleet Services,Engineering & Construction Serv Fleet Replacement,ECS - Fleet Replacement - 2028,0,0,0,0,0,277.2,118.8,0,0,0,396,CW,City Wide,State of Good Repair
Fleet Services,Engineering & Construction Serv Fleet Replacement,ECS - Fleet Replacement - 2029,0,0,0,0,0,0,308,132,0,0,440,CW,City Wide,State of Good Repair
Fleet Services,"Shelter, Support & Housing Admin-Fleet Replacement",SSHA - Fleet Replacement - 2030,0,0,0,0,0,0,0,185.7,79.6,0,265.3,CW,City Wide,State of Good Repair
Technology Services,Asset Lifecycle Management,Enterprise Software Replacement,1100,1187,1187,1187,1274,1187,1187,1187,1187,1187,11870,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Environmental,Var Locs-Designated Substance and Environmental An,0,1316,0,0,0,0,0,0,0,0,1316,CW,City Wide,State of Good Repair
Fleet Services,"Parks, Forestry & Recreation-Fleet Replacement",PFR - Fleet Replacement - 2030,0,0,0,0,0,0,0,7510.9,11266.4,0,18777.3,CW,City Wide,State of Good Repair
Fleet Services,EDCT - Fleet Replacement,EDCT - Fleet Replacement - 2025,0,0,55.7,23.9,0,0,0,0,0,0,79.6,CW,City Wide,State of Good Repair
Fleet Services,Solid Waste - Fleet Replacement,SWM - Fleet Replacement - 2027,0,0,0,0,4339.5,8678.9,8678.9,0,0,0,21697.3,CW,City Wide,State of Good Repair
Fleet Services,Solid Waste - Fleet Replacement,SWM - Fleet Replacement - 2031,0,0,0,0,0,0,0,0,991.2,1982.3,2973.5,CW,City Wide,State of Good Repair
Environment & Climate Division,Renewable Energy Program,GeoExchange - Future Years,0,500,500,500,500,500,500,500,500,500,4500,CW,City Wide,Service Improvement and Enhancement
Fleet Services,Exhibition Place - Fleet Replacement,Ex - Fleet Replacement - 2031,0,0,0,0,0,0,0,0,340,0,340,CW,City Wide,State of Good Repair
Fleet Services,Toronto Water - Fleet Replacement,TW - Fleet Replacement - 2024,0,3777.7,3777.7,0,0,0,0,0,0,0,7555.4,CW,City Wide,State of Good Repair
Fleet Services,Sustainable Fleet Project,Sustainable Fleet Project - 2027,0,0,0,0,91,0,0,0,0,0,91,CW,City Wide,Legislated
Fleet Services,Toronto Water - Fleet Replacement,TW - Fleet Replacement - 2030,0,0,0,0,0,0,0,8115.2,8115.2,0,16230.4,CW,City Wide,State of Good Repair
Fleet Services,Toronto Water - Fleet Replacement,TW - Fleet Replacement - 2032,0,0,0,0,0,0,0,0,0,16652.4,16652.4,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Energy Conservation & Demand Management,Energy Conservation & Demand Mngmt Plan-Future Yrs,0,2000,2000,2000,2000,2000,2000,2000,2000,2000,18000,CW,City Wide,Service Improvement and Enhancement
Fleet Services,Toronto Building - Fleet Replacement,BL - Fleet Replacement - 2031,0,0,0,0,0,0,0,0,50.7,21.7,72.4,CW,City Wide,State of Good Repair
Fleet Services,Arena Boards - Replacement of Ice Resurfacers,Arena - Fleet Replacement - 2032,0,0,0,0,0,0,0,0,0,149,149,CW,City Wide,State of Good Repair
Fleet Services,Municipal Licensing & Standards-Fleet Replacement,MLS - Fleet Replacement - 2024,0,166.7,388.9,0,0,0,0,0,0,0,555.6,CW,City Wide,State of Good Repair
Fleet Services,Municipal Licensing & Standards-Fleet Replacement,MLS - Fleet Replacement - 2030,0,0,0,0,0,0,0,393,916.9,0,1309.9,CW,City Wide,State of Good Repair
Fleet Services,Arena Boards - Replacement of Ice Resurfacers,Arena - Fleet Replacement - 2025,0,0,276,0,0,0,0,0,0,0,276,CW,City Wide,State of Good Repair
Fleet Services,Toronto Building - Fleet Replacement,BL - Fleet Replacement - 2024,0,354.9,152.1,0,0,0,0,0,0,0,507,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Sitework,1535 Albion Road - Various Projects,0,0,2,24,0,0,0,0,0,0,26,1,Etobicoke North,State of Good Repair
Corporate Real Estate Management,Sitework,1401 CASTLEFIELD AVE-Replacement of Asphalt Paveme,0,0,0,0,0,0,0,0,48,932,980,8,Eglinton-Lawrence,State of Good Repair
Corporate Real Estate Management,Renovations,185 Fifth St - Various Projects,0,0,0,0,0,0,0,27,247,0,274,3,Etobicoke-Lakeshore,State of Good Repair
Corporate Real Estate Management,Renovations,VarLocs-SOGR Interior Systems 2029,0,0,0,0,0,300,4547,806,3482,672,9807,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Re-roofing,1135 Caledonia-Roof Replacement,0,0,0,0,1.5,111.5,0,0,0,0,113,8,Eglinton-Lawrence,State of Good Repair
Corporate Real Estate Management,Re-roofing,1401 CASTLEFIELD-Modified Bitumen Roof Replacement,0,0,0,0,0,0,0,0,93.29,16.16,109.45,8,Eglinton-Lawrence,State of Good Repair
Fleet Services,Paramedics-Fleet Replacement,Paramedics - Fleet Replacement - 2025,0,0,8640,2160,0,0,0,0,0,0,10800,CW,City Wide,State of Good Repair
Fleet Services,Clerks - Fleet Replacement,Clerks - Fleet Replacement - 2027,0,0,0,0,187.3,80.3,0,0,0,0,267.6,CW,City Wide,State of Good Repair
Fleet Services,Library - Fleet Replacement,TPL - Fleet Replacement - 2024,0,242.2,565.2,0,0,0,0,0,0,0,807.4,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Structural/Building Envelope,16 Ossington-Rpl Windows,0,0,0,0,0,0,0,0,117,10,127,10,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Structural/Building Envelope,5100 Yonge St-Roofing & Frames,0,0,0,0,0,0,0,24,444,0,468,18,Willowdale,State of Good Repair
Corporate Real Estate Management,Structural/Building Envelope,4330 Dufferin Street Site - Various Projects - Arc,0,0,2.5,37,282.5,238.5,0,0,0,0,560.5,6,York Centre,State of Good Repair
Corporate Real Estate Management,Structural/Building Envelope,71 Front W-Union Station SOGR Projects,0,0,0,5000,0,0,0,0,0,0,5000,10,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,VarLocs-VariousSOGR Work on Mech&Elect Systems2026,0,0,0,0,0,1968,0,0,0,0,1968,CW,City Wide,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1288 Queen W -Domestic Hot Water Heater,0,0,5,23,0,0,0,0,0,0,28,4,Parkdale-High Park,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,2050 JANE-Rpl Central UPS System,0,0,0,0,0,0,0,0,198,23,221,5,York South-Weston,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,3100 EGLINTON AVE E - Various Projects,0,0,2,16,0,0,0,0,0,0,18,24,Scarborough-Guildwood,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin Str - Various Projects - Mech.2,0,0,66,388.5,115,245,0,0,0,0,814.5,6,York Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin St - Various Projects - Electrical 1,0,0,4.5,29.5,17.5,285.5,0,0,0,0,337,6,York Centre,State of Good Repair
Fleet Services,Transportation-Fleet Replacement,TP - Fleet Replacement - 2028,0,0,0,0,0,1175.1,2742,0,0,0,3917.1,CW,City Wide,State of Good Repair
Fleet Services,Purchasing & Materials Mgmt- Fleet Replacement,PMMD - Fleet Replacement - 2028,0,0,0,0,0,65.4,28,0,0,0,93.4,CW,City Wide,State of Good Repair
Fleet Services,Purchasing & Materials Mgmt- Fleet Replacement,PMMD - Fleet Replacement - 2030,0,0,0,0,0,0,0,105.5,45.2,0,150.7,CW,City Wide,State of Good Repair
City Clerk's Office,City Clerk's Office Business Systems,City Clerk's Business Systems 2024-2025,0,345,645,0,0,0,0,0,0,0,990,CW,City Wide,Legislated
City Clerk's Office,Mail Security and Mail Room Upgrades,Mail Security and Mail Room Upgrades 2032,0,0,0,0,0,0,0,0,0,300,300,CW,City Wide,Health and Safety
City Clerk's Office,Long Term Preservation Implem. and Continuity,Long-Term Preservation of Digital Records,0,0,75,200,0,0,0,0,0,0,275,CW,City Wide,Legislated
City Clerk's Office,Council Business Systems,Council Business Systems 2030-2031,0,0,0,0,0,0,0,600,425,0,1025,CW,City Wide,Legislated
City Clerk's Office,IP Workflow Management System SOGR,IP Workflow Management System SOGR 2025-2026,0,0,210,565,0,0,0,0,0,0,775,CW,City Wide,State of Good Repair
City Clerk's Office,IP Workflow Management System SOGR,IP Workflow Management System SOGR 2031,0,0,0,0,0,0,0,0,185,0,185,CW,City Wide,State of Good Repair
City Clerk's Office,City Clerk's Office Health & Safety Remediation,City Clerk`s Health & Safety Remediation-SOGR 2025,0,0,100,100,0,0,0,0,0,0,200,CW,City Wide,Health and Safety
City Clerk's Office,City Clerk's Office Health & Safety Remediation,City Clerk's Health & Safety Remediation-SOGR 2032,0,0,0,0,0,0,0,0,0,200,200,CW,City Wide,Health and Safety
Toronto Public Library,TRL Renvoation,TRL Renovation (SOGR),0,500,800,500,500,200,200,200,500,500,3900,11,University-Rosedale,State of Good Repair
Exhibition Place,BETTER LIVING CENTRE,Brick Replacement & Roof Tower Retrofit,0,0,0,100,450,0,0,0,0,0,550,10,Spadina-Fort York,State of Good Repair
Toronto Police Service,In-Car Camera Replacement,In-Car Camera Replacement S5 2023-2032,600,0,0,0,0,0,0,0,0,0,600,CW,City Wide,State of Good Repair
Exhibition Place,PRE-ENGINEERING PROGRAM,"Study, Investigate, Design, Engineer",0,175,175,175,175,200,200,200,200,200,1700,10,Spadina-Fort York,State of Good Repair
Toronto & Region Conservation Authority,WATERFRONT & VALLEY EROSION CONTROL,Shoreline Monitoring & Maintenance,200,200,200,200,200,200,200,200,200,200,2000,CW,City Wide,State of Good Repair
Toronto Police Service,Property and Evidence Racking,Racking 2023-2032,0,50,950,0,0,0,0,0,0,0,1000,CW,City Wide,Service Improvement and Enhancement
Exhibition Place,COLISEUM COMPLEX,Interior Lead Capsulation (Industry Bldg),0,0,0,750,0,0,0,0,0,0,750,10,Spadina-Fort York,State of Good Repair
Toronto Public Library,Lillian H Smith Renovation & Expansion,Lillian H Smith Renovation-Construction (SOGR),0,0,0,0,5311,9125,10808,6688,3023,0,34955,11,University-Rosedale,Growth Related
Toronto & Region Conservation Authority,WATERFRONT & VALLEY EROSION CONTROL,Shoreline Monitoring & Maintenance,200,0,0,0,0,0,0,0,0,0,200,CW,City Wide,State of Good Repair
Exhibition Place,"PARKS, PARKING LOTS AND ROADS",Street & Parking Lots Lighting Retrofit,300,300,150,50,50,50,50,50,50,50,1100,10,Spadina-Fort York,State of Good Repair
Exhibition Place,"PARKS, PARKING LOTS AND ROADS","Sidewalks, Parking lots and Roads -AODA",300,500,300,300,300,300,300,300,300,300,3200,10,Spadina-Fort York,State of Good Repair
Exhibition Place,"PARKS, PARKING LOTS AND ROADS",Build Curb Stop Replacement,100,0,0,0,0,0,0,0,0,0,100,10,Spadina-Fort York,State of Good Repair
Toronto Zoo,Building & Services Refurbishment,Building & Services Refurbishment (Future Years),0,0,0,0,0,2000,1000,0,0,0,3000,25,Scarborough-Rouge Park,State of Good Repair
Toronto Zoo,Building & Services Refurbishment,Building & Services Refurbishment (Future Years),0,0,2450,3250,2250,250,1150,2150,1503,13377,26380,25,Scarborough-Rouge Park,State of Good Repair
Exhibition Place,BEANFIELD CENTRE (formerly ALLSTREAM CENTRE),Make-up Air Units,0,0,0,0,0,0,250,0,0,0,250,10,Spadina-Fort York,State of Good Repair
TO Live,Meridian Arts Centre - SOGR,MAC - Rigging Replacement (Lyric Theatre) (Future),0,0,0,0,250,0,0,0,0,0,250,18,Willowdale,Health and Safety
Exhibition Place,"PARKS, PARKING LOTS AND ROADS",*Festival Plaza Development - NW of Lot 2,0,0,0,0,0,0,0,100,0,1400,1500,10,Spadina-Fort York,Service Improvement and Enhancement
Toronto Public Health,Mobile Enablement,Mobile Enablement,0,0,0,0,0,0,394,378,369,0,1141,CW,City Wide,Service Improvement and Enhancement
Exhibition Place,GENERAL SERVICES BUILDING,Plumbing & HVAC Equipment Replacement,200,0,0,0,0,0,0,0,0,0,200,10,Spadina-Fort York,State of Good Repair
Exhibition Place,BEANFIELD CENTRE (formerly ALLSTREAM CENTRE),Huffcore Wall Replacement,0,150,0,500,0,0,0,0,0,0,650,10,Spadina-Fort York,State of Good Repair
Exhibition Place,BEANFIELD CENTRE (formerly ALLSTREAM CENTRE),Exhaust Fans,0,0,0,0,0,0,250,0,0,0,250,10,Spadina-Fort York,State of Good Repair
Exhibition Place,BEANFIELD CENTRE (formerly ALLSTREAM CENTRE),Fire Alarm System Upgrade,0,50,0,300,200,150,0,0,0,0,700,10,Spadina-Fort York,State of Good Repair
Exhibition Place,BEANFIELD CENTRE (formerly ALLSTREAM CENTRE),Boilers,0,0,0,0,0,0,0,0,0,300,300,10,Spadina-Fort York,State of Good Repair
Exhibition Place,M/E & COMMUNICATION INFRASTRUCTURE,"Transformers, Switchgears & Circuit Breakers Repla",0,100,100,100,100,100,100,100,100,100,900,10,Spadina-Fort York,State of Good Repair
Toronto Police Service,SOGR,SOGR 2023-2032,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,44000,CW,City Wide,State of Good Repair
Toronto Police Service,Electronic Surveillance System Lifecycle Replaceme,Electronic Surveillance 2023-2032,0,244,0,0,0,0,153,92,105,0,594,CW,City Wide,State of Good Repair
Toronto & Region Conservation Authority,WATERFRONT DEVELOPMENT,Wtrfrnt Dev: Ashbridges Bay / Coatsworth Cut,0,125,125,125,125,125,125,125,125,125,1125,19,Beaches-East York,State of Good Repair
Toronto & Region Conservation Authority,WATERFRONT DEVELOPMENT,Tommy Thompson- Cell Capping,50,50,50,50,50,50,50,50,50,50,500,14,Toronto-Danforth,State of Good Repair
TO Live,St Lawrence Centre for the Arts - AODA,STLC - AODA Compliance Projects (Future),0,8412,4680,0,0,500,0,0,0,0,13592,13,Toronto Centre,Legislated
TO Live,MH - BCA Recommendations,MH - BCA Recommendations (Future),0,0,0,0,0,0,0,3000,3000,3000,9000,13,Toronto Centre,State of Good Repair
Toronto & Region Conservation Authority,WATERFRONT DEVELOPMENT,Wtrfrnt Dev:Environmental Monitoring Program,245,0,0,0,0,0,0,0,0,0,245,CW,City Wide,State of Good Repair
Exhibition Place,ENERCARE CENTRE (formerly DEC),Replace AHU - Heritage Court in Phases,0,0,100,100,100,0,0,0,0,0,300,10,Spadina-Fort York,State of Good Repair
Exhibition Place,ENERCARE CENTRE (formerly DEC),Escalators Replacement,0,0,0,300,1500,150,0,0,0,350,2300,10,Spadina-Fort York,State of Good Repair
Toronto Zoo,Information Systems,Information Systems (Future Years),0,0,1100,1100,1100,1100,1100,1100,1100,1100,8800,25,Scarborough-Rouge Park,State of Good Repair
Exhibition Place,ENERCARE CENTRE (formerly DEC),"Replace Boilers, in Phases",0,0,220,440,0,0,0,0,0,0,660,10,Spadina-Fort York,State of Good Repair
TO Live,Meridian Arts Centre - SOGR,MAC - BCA Recommendations (Future),0,0,0,0,0,0,0,0,3000,5000,8000,18,Willowdale,State of Good Repair
Exhibition Place,"PARKS, PARKING LOTS AND ROADS",West Bailey Bridge Investigation & Retrofit,0,0,0,100,0,0,0,0,100,0,200,10,Spadina-Fort York,State of Good Repair
Exhibition Place,"PARKS, PARKING LOTS AND ROADS",New Bus Shelter by Press Bldg.,0,0,50,0,0,0,0,0,0,0,50,10,Spadina-Fort York,Service Improvement and Enhancement
Toronto Police Service,Information Technology Storage Growth,IT Storage Growth 2023-2032,500,0,0,0,0,0,0,0,0,0,500,CW,City Wide,Service Improvement and Enhancement
Toronto Police Service,Information Technology Storage Growth,IT Storage Growth 2023-2032,0,500,500,500,500,500,500,500,500,500,4500,CW,City Wide,Service Improvement and Enhancement
Exhibition Place,M/E & COMMUNICATION INFRASTRUCTURE,Upgrade Communication Infrastructure,0,350,350,350,350,350,350,350,350,500,3300,10,Spadina-Fort York,State of Good Repair
Exhibition Place,GENERAL SERVICES BUILDING,Localized Slab on Grade Replacement,0,50,0,0,0,0,0,0,0,0,50,10,Spadina-Fort York,State of Good Repair
Exhibition Place,BEANFIELD CENTRE (formerly ALLSTREAM CENTRE),Electrical Distribution System,0,50,300,0,0,0,0,0,0,0,350,10,Spadina-Fort York,State of Good Repair
Toronto Public Library,Parliament Street Relocation and Expansion,Parliament Street Library - Design (SOGR),0,0,0,0,0,0,461,248,0,0,709,13,Toronto Centre,Growth Related
Toronto Police Service,Long Term Facility Plan,13/ 53 Division New Build 2023-2032,0,0,0,0,0,0,300,3709,19068,17035,40112,CW,City Wide,Service Improvement and Enhancement
TO Live,St Lawrence Centre for the Arts - SOGR,STLC - Studies and Redevelopment Planning(2021-23),3000,0,0,0,0,0,0,0,0,0,3000,13,Toronto Centre,Growth Related
Toronto Police Service,Body worn Camera Lifecycle,Body-worn Camera Lifecycle 2023-2032,0,0,0,0,0,500,0,0,0,0,500,CW,City Wide,Service Improvement and Enhancement
Toronto Police Service,Long Term Facility Plan,2023 Reduction Target - Fac & Process Imp,683,0,0,0,0,0,0,0,0,0,683,CW,City Wide,Service Improvement and Enhancement
Toronto Police Service,SOGR,2023 Reduction Target - SOGR,-792,0,0,0,0,0,0,0,0,0,-792,CW,City Wide,State of Good Repair
Toronto Police Service,"Transforming Corporate Support (HRMS, TRMS)","2023 Reduction Target - HRMS, TRMS",-40,0,0,0,0,0,0,0,0,0,-40,CW,City Wide,Service Improvement and Enhancement
Toronto Zoo,Exhibit Refurbishment,Exhibit Refurbishment (Current),5237,0,0,0,0,0,0,0,0,0,5237,25,Scarborough-Rouge Park,State of Good Repair
Exhibition Place,"PARKS, PARKING LOTS AND ROADS",Fountain Retrofit -Various Locations,150,0,0,0,0,0,0,0,0,0,150,10,Spadina-Fort York,State of Good Repair
Exhibition Place,ENERCARE CENTRE (formerly DEC),Replace Pumps in Chillers,290,0,0,0,0,0,0,0,0,0,290,10,Spadina-Fort York,State of Good Repair
Exhibition Place,SPECIAL PROJECTS,Revitalization of Centennial Square,1000,0,0,0,0,0,0,0,0,0,1000,10,Spadina-Fort York,Service Improvement and Enhancement
Exhibition Place,"PARKS, PARKING LOTS AND ROADS",New Brunswick Way Improvement/Rd Widening,0,500,0,0,0,0,0,0,0,0,500,10,Spadina-Fort York,Service Improvement and Enhancement
Exhibition Place,ENERCARE CENTRE (formerly DEC),2023 Reduction Target -Replace Pump & Piping Loops,-185,0,0,0,0,0,0,0,0,0,-185,10,Spadina-Fort York,State of Good Repair
Exhibition Place,COLISEUM COMPLEX,2023 Reduction Target -Roof Replacement (Industry,-280,0,0,0,0,0,0,0,0,0,-280,10,Spadina-Fort York,State of Good Repair
Toronto Public Library,Dawes Road Neighbourhood Library,Dawes Road Library Design & Construction (Growth),400,400,400,0,0,0,0,0,0,0,1200,19,Beaches-East York,Growth Related
Toronto Public Library,Multi-Branch Renovation,Multi-Branch Renovation SOGR,0,5050,0,0,0,0,0,0,0,0,5050,CW,City Wide,State of Good Repair
Toronto Public Library,Centennial Renovation & Expansion,Centennial  - Construction (Growth),3500,5713,2305,0,0,0,0,0,0,0,11518,6,York Centre,Growth Related
Toronto Public Library,Technology Asset Management Program,Technology Asset Management Program,0,613,0,0,0,0,0,0,0,0,613,CW,City Wide,State of Good Repair
Toronto Public Library,Technology Asset Management Program,Technology Asset Management Program,6867,0,0,0,0,0,0,0,0,0,6867,CW,City Wide,State of Good Repair
Toronto Public Library,Bridlewood Relocation and Expansion,Bridlewood Relocation and Expansion,3862,1417,0,0,0,0,0,0,0,0,5279,22,Scarborough-Agincourt,Growth Related
Toronto Public Library,MB Renovation Pgm Accessibility Retrofit,MB Accessibility Retrofit,1865.29,1282,0,0,0,0,0,0,0,0,3147.29,CW,City Wide,Legislated
Toronto Public Library,High Park Renovation & Expansion,2023 Reduction Target -High Park Renovation-Design,-230,0,0,0,0,0,0,0,0,0,-230,4,Parkdale-High Park,Growth Related
Toronto Public Library,Multi-Branch Renovation,Multi-Branch Renovation SOGR  scope change,0,2679,0,0,0,0,0,0,0,0,2679,CW,City Wide,State of Good Repair
Toronto Public Library,Centennial Renovation & Expansion,Centennial  - Construction (Growth) Scope Change,0,0,3065,0,0,0,0,0,0,0,3065,6,York Centre,Growth Related
Toronto Transit Commission,Fire Ventilation Upgrade,Fire Ventilation Upgrade - SOGR,0,8824,8000,5898,6744,18318,23921,18148,16631,6880,113364,CW,City Wide,State of Good Repair
