Program/Agency Name,Project Name,Sub-Project Name,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,total_10years,Ward Number,Ward,Category
Children's Services,Western North York Child Care,Western North York Child Care,0,0,1100,0,0,0,0,0,0,0,1100,7,Humber River-Black Creek,Service Improvement and Enhancement C04
Children's Services,Mount Dennis Child Care Centre,Mount Dennis Additional Funding 2020,826,425,0,0,0,0,0,0,0,0,1251,5,York South-Weston,Service Improvement and Enhancement C04
Children's Services,Western North York Child Care,Western North Yoirk Child Care,242,633,0,0,0,0,0,0,0,0,875,7,Humber River-Black Creek,Service Improvement and Enhancement C04
Children's Services,Alexandra Park Child Care Centre,Alexandra Park Child Care Ctr 2024 AddL Funding,500,307,0,0,0,0,0,0,0,0,807,10,Spadina-Fort York,Service Improvement and Enhancement C04
Children's Services,St. Bartholomew Catholic School,St Bartholomew AddL Funding 2024,138,162,0,0,0,0,0,0,0,0,300,23,Scarborough-North,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Playgrounds/Waterplay,Willowdale Park & Playground Improvements S37,300,700,0,0,0,0,0,0,0,0,1000,18,Willowdale,Service Improvement and Enhancement C04
Toronto Paramedic Services,Ambulance Post Program,Ambulance Post #1 - 30 Queen's Plate Dr - Change,500,500,0,0,0,0,0,0,0,0,1000,1,Etobicoke North,Growth Related C05
Toronto Paramedic Services,Additional ERVs,Additional ERV - 2024 (5+1),780,0,0,0,0,0,0,0,0,0,780,CW,City Wide,Growth Related C05
Toronto Paramedic Services,Mobile Data Communications,Mobile Data Communications - 2024,1800,0,0,0,0,0,0,0,0,0,1800,CW,City Wide,State of Good Repair C03
Toronto Paramedic Services,Multi-Function Station #2,MF#02 - TPS Upgrade Parking,0,1500,0,0,0,0,0,0,0,0,1500,21,Scarborough Centre,Growth Related C05
Fire Services,CAD Upgrade,CAD Upgrade,0,0,0,0,0,0,0,0,0,0,0,CW,City Wide,State of Good Repair C03
Fire Services,Bunker Suit Washer/ Extractor Installations,Bunker Suit Washer/Extractor Installations,290,0,0,0,0,0,0,0,0,0,290,CW,City Wide,Health and Safety C01
Fire Services,West Training Burn House Repairs,West Training Burn House Repairs,-75,0,0,0,0,0,0,0,0,0,-75,CW,City Wide,State of Good Repair C03
Fire Services,Thermal Imaging Cameras,Replacement of  thermal imaging cameras -2021,300,300,250,0,0,0,0,0,0,0,850,CW,City Wide,Health and Safety C01
Fire Services,Fire Station 145 Apparatus Bay Enhancement,Fire Station 145 Apparatus Bay Enhancement,65,0,0,0,0,0,0,0,0,0,65,CW,City Wide,Service Improvement and Enhancement C04
Seniors Services and Long-Term Care,4610 Finch Ave East,4610 Finch Ave East,0,32800,41070,12191,0,0,0,0,0,0,86061,23,Scarborough-North,Growth Related C05
"Parks, Forestry & Recreation",Land Acquisition,Parkland Acquisition,3500,30000,30000,30000,36250,36250,16000,12124,0,0,194124,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Special Facilities,High Pk Forestry School Building Phase 2 S37,1393,600,0,0,0,0,0,0,0,0,1993,4,Parkdale-High Park,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Special Facilities,High Pk Forestry School Building Phase 2 S37,0,775,0,0,0,0,0,0,0,0,775,4,Parkdale-High Park,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Master Planning & Engagement,100,0,0,0,0,0,0,0,0,0,100,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Frank Faubert Woods Development,0,657,0,0,0,0,0,0,0,0,657,21,Scarborough Centre,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Former Ward 24 Park Improvements,16,1029,0,0,0,0,0,0,0,0,1045,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,229 Richmond Street Park Development S37,0,1000,3613,0,0,0,0,0,0,0,4613,10,Spadina-Fort York,Growth Related C05
"Parks, Forestry & Recreation",Park Development,76 Coral Gable Drive Park Development,0,700,0,0,0,0,0,0,0,0,700,7,Humber River-Black Creek,Growth Related C05
"Parks, Forestry & Recreation",Park Development,Lawrence Heights Ph1a-Baycrest Additional Funds,0,400,0,0,0,0,0,0,0,0,400,8,Eglinton-Lawrence,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Dunkip Park Development,0,375,0,0,0,0,0,0,0,0,375,3,Etobicoke-Lakeshore,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Cricket Pitch (1),400,0,0,0,0,0,0,0,0,0,400,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,Topham Park Clubhouse Improvements S37,440,0,0,0,0,0,0,0,0,0,440,19,Beaches-East York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Ward 16 Splash Pad (3) Ferrand Park,50,735,15,0,0,0,0,0,0,0,800,16,Don Valley East,Growth Related C05
"Parks, Forestry & Recreation",Playgrounds/Waterplay,CAMP (SGR) Waterplays,-2575,3100,0,0,0,0,0,0,0,0,525,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Arena,FMP-Artificial Ice Rink (1) Design Fountainhead,40,0,0,0,0,0,0,0,0,0,40,7,Humber River-Black Creek,Growth Related C05
"Parks, Forestry & Recreation",Arena,FMP-Artificial Ice Rink (1) Construct Fountainhead,0,366,0,0,0,0,0,0,0,0,366,7,Humber River-Black Creek,Growth Related C05
"Parks, Forestry & Recreation",Arena,CAMP (SGR) Arenas,0,1718,0,0,0,0,0,0,0,0,1718,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Arena,CAMP (SGR) Arenas,1056,18597,0,0,0,0,0,0,0,0,19653,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Park Development,Priority Downtown Parks,500,620,0,0,0,0,0,0,0,0,1120,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Parking Lots and Tennis Courts,"CAMP(SGR) Parking Lots, Tennis Courts &Sports Pads",-3780,0,0,0,0,0,0,0,0,0,-3780,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Skateboard Park (1) North District Earl Bales,0,135,0,0,0,0,0,0,0,0,135,6,York Centre,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,Bluffer's Park Washroom Improvements,0,3800,0,0,0,0,0,0,0,0,3800,20,Scarborough Southwest,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,320 Markham - Park Development,0,676,0,0,0,0,0,0,0,0,676,24,Scarborough-Guildwood,Growth Related C05
"Parks, Forestry & Recreation",Park Development,64A Thirteenth St - Colonel Samuel Smith Pk Exp,7,353,0,0,0,0,0,0,0,0,360,3,Etobicoke-Lakeshore,Growth Related C05
"Parks, Forestry & Recreation",Park Development,64A Thirteenth St - Colonel Samuel Smith Pk Exp,3,37,0,0,0,0,0,0,0,0,40,3,Etobicoke-Lakeshore,Growth Related C05
"Parks, Forestry & Recreation",Park Development,51 Sussex Ave (666 Spadina) Above Base Pk Develop,57,0,0,0,0,0,0,0,0,0,57,11,University-Rosedale,Growth Related C05
"Parks, Forestry & Recreation",Park Development,Apted Park Design - S37,0,30,0,0,0,0,0,0,0,0,30,7,Humber River-Black Creek,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Trinity Square Park Clock Tower,300,0,0,0,0,0,0,0,0,0,300,13,Toronto Centre,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Various Parks - Parks Rehabilitation,5000,0,0,0,0,0,0,0,0,0,5000,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Park Development,Pelmo Park Park Off Leash Area,30,620,0,0,0,0,0,0,0,0,650,5,York South-Weston,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Bayview Village Participatory Budgeting Projects,330,0,0,0,0,0,0,0,0,0,330,17,Don Valley North,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Keelesdale Park - Rebuild Stairs/Path/N.Sporting^,0,650,0,0,0,0,0,0,0,0,650,5,York South-Weston,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Wallace Emerson Park Redevelopment- Phase 1,0,2051,0,0,0,0,0,0,0,0,2051,9,Davenport,Growth Related C05
"Parks, Forestry & Recreation",Park Development,57 Brock Avenue - Park Development,0,162,0,0,0,0,0,0,0,0,162,4,Parkdale-High Park,Growth Related C05
"Parks, Forestry & Recreation",Park Development,Dunkip Park Development,155,0,0,0,0,0,0,0,0,0,155,3,Etobicoke-Lakeshore,Growth Related C05
"Parks, Forestry & Recreation",Community Centres,FMP-Etobicoke Civic Centre Community Centre,0,0,0,11687,4000,3342,0,0,0,0,19029,3,Etobicoke-Lakeshore,Growth Related C05
"Parks, Forestry & Recreation",Community Centres,FMP-Masaryk-Cowan CRC Redevelopment (4) Design,0,0,507,300,250,250,200,0,0,0,1507,4,Parkdale-High Park,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Community Centres,FMP John Innes CRC Redevelopment (3)-Construction,0,0,0,0,0,14500,0,0,0,0,14500,13,Toronto Centre,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Special Facilities,"CAMP(SGR) Waterfront,Marine,Ftn&Seawall",-1602,1365,0,0,0,0,0,0,0,0,-237,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Park Development,Keelesdale Park - Rebuild Stairs/Path/N.Sporting^,0,243,0,0,0,0,0,0,0,0,243,5,York South-Weston,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Fleet-Area Maintenance (Ph 2 of Tree Serv. 2011),701,0,0,0,0,0,0,0,0,0,701,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Corktown Parks - Additional Funding S42,487,0,0,0,0,0,0,0,0,0,487,13,Toronto Centre,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Market Ln Parkette & S Pk Devt Construction - S42,0,500,0,0,0,0,0,0,0,0,500,13,Toronto Centre,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Pleasant View Participatory Budgeting Projects,180,0,0,0,0,0,0,0,0,0,180,17,Don Valley North,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Bathurst Quay - Canada Malting Waterfront Plaza,3000,2000,0,0,0,0,0,0,0,0,5000,10,Spadina-Fort York,Growth Related C05
"Parks, Forestry & Recreation",Facility Components,Various Buildings & Parks Accessibility Program,2500,0,0,0,0,0,0,0,0,0,2500,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Community Centres,FMP-40 Wabash Parkdale New CC (#7) - Construction,0,0,0,27000,24000,0,0,0,0,0,51000,4,Parkdale-High Park,Growth Related C05
"Parks, Forestry & Recreation",Community Centres,CAMP (SGR) Community Centres,-8172,1162,0,0,0,0,0,0,0,0,-7010,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Community Centres,FMP-Downtown (Ramsden) CRC (1) Design,0,0,0,0,250,250,250,200,50,0,1000,11,University-Rosedale,Growth Related C05
Economic Development & Culture,BIA Planning Act Revenues,2014 PAR Bloor-YorkVille,2,0,0,0,0,0,0,0,0,0,2,CW,City Wide,Service Improvement and Enhancement C04
Economic Development & Culture,2024 BIA Equal Share Funding,2024 BIA Equal Share Funding,250,1489,0,0,0,0,0,0,0,0,1739,CW,City Wide,State of Good Repair C03
Economic Development & Culture,Restoration/Preservation of Heritage Elements,Windfield Estates - Stables,50,150,0,0,0,0,0,0,0,0,200,15,Don Valley West,State of Good Repair C03
Economic Development & Culture,Commercial Facade Improvement Program - CFIP,2023 Commercial Facade Improvement Program,300,0,0,0,0,0,0,0,0,0,300,CW,City Wide,Service Improvement and Enhancement C04
Economic Development & Culture,Commercial Facade Improvement Program - CFIP,2024 Commercial Facade Improvement Program,321,700,0,0,0,0,0,0,0,0,1021,CW,City Wide,Service Improvement and Enhancement C04
Economic Development & Culture,PAR LITTLE ITALY,2016 PAR LITTLE ITALY,29,0,0,0,0,0,0,0,0,0,29,11,University-Rosedale,State of Good Repair C03
"Parks, Forestry & Recreation",Pool,FMP-Davisville Community Pool - Construction,0,17277,0,0,0,0,0,0,0,0,17277,12,Toronto-St. Pauls,Growth Related C05
"Parks, Forestry & Recreation",Park Development,Centennial Park Master Plan Ph1 Implementation,600,200,0,0,0,0,0,0,0,0,800,2,Etobicoke Centre,Growth Related C05
Transportation Services,Glen Road Pedestrian Bridge,2024 Adjustment Commitments,0,2865,0,0,0,0,0,0,0,0,2865,11,University-Rosedale,Health and Safety C01
Transportation Services,RSP Traffic Calming,2019 Adjustment - Plan,0,0,0,0,302,302,302,302,302,302,1812,CW,City Wide,Health and Safety C01
Transportation Services,Eglinton Connects LRT,2024 Adjustment Commitments,0,5000,0,0,0,0,0,0,0,0,5000,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Green Streets Improvement,2024 Adjustment Commitments,1000,4500,0,0,0,0,0,0,0,0,5500,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Work for TTC & Others,2023 To 2027 Cash Flow Work for TTC Others,0,0,0,0,4000,0,0,0,0,0,4000,CW,City Wide,Growth Related C05
Transportation Services,Emery Village Improvements,2023 Adjustment Commitments,0,2008,0,0,0,0,0,0,0,0,2008,CW,City Wide,Growth Related C05
Transportation Services,RSP Accessible Pedestrian Signals,2024 Adjustment Commitments,0,0,947,0,0,0,0,0,0,0,947,CW,City Wide,Health and Safety C01
Transportation Services,Signs and Markings Asset Management,2024 Adjustment Commitments,-2154,0,0,0,0,0,0,0,0,0,-2154,CW,City Wide,State of Good Repair C03
Transportation Services,Major Road Rehabilitation,2018 MRR Cash Flow for 2023 to 2028,0,0,0,0,61441,62730,64045,65386,69573,71034,394209,CW,City Wide,State of Good Repair C03
Transportation Services,Engineering Studies,2024 Adjustment Commitments,1997,3176,3816,5096,6400,0,0,0,0,0,20485,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,F. G. Gardiner Rehabilitation Program,2024 Reduction Reversal,0,12441,0,0,0,0,0,0,0,0,12441,CW,City Wide,State of Good Repair C03
Transportation Services,City Bridge Rehabilitation,2023 Adjustment Plan,0,0,0,0,0,0,0,0,40175,40778,80953,CW,City Wide,State of Good Repair C03
City Planning,DEVELOPMENT STUDIES,Growth and Area Studies,0,623,720,720,720,720,720,720,720,720,6383,CW,City Wide,Growth Related C05
Transportation Services,Ditch Rehabilitation and Culvert Reconstruction,2018 to 2027 Ditch Rehab & Culvert Recon,0,0,0,0,1000,1000,1000,1000,1000,1000,6000,CW,City Wide,State of Good Repair C03
Transportation Services,Traffic Plant Requirements/Signal Asset Management,2024 Adjustment Commitments,-3625,0,0,6925,0,0,0,0,0,0,3300,CW,City Wide,State of Good Repair C03
Transportation Services,F.G. Gardiner - Critical Repairs,2024 Adjustment Commitments,-5000,-5000,0,0,0,0,0,0,0,0,-10000,CW,City Wide,State of Good Repair C03
Waterfront Revitalization Initiative,Toronto Waterfront Revitalization Initiative,EBF Local Infrastructure Charge 2024 Bud Adj,-5901,3194,0,0,2708,0,0,0,0,0,1,10,Spadina-Fort York,Growth Related C05
Waterfront Revitalization Initiative,Toronto Waterfront Revitalization Initiative,Regional Sports Centre - Reallocation of Funding,-2996,-2847,0,0,0,0,0,0,2895,2894,-54,14,Toronto-Danforth,Growth Related C05
City Planning,PLACES - CIVIC IMPROVEMENTS,PLACES,840,540,0,0,0,0,0,0,0,0,1380,CW,City Wide,Growth Related C05
City Planning,PLACES - CIVIC IMPROVEMENTS,PLACES,560,360,0,0,0,0,0,0,0,0,920,CW,City Wide,Growth Related C05
Transit Expansion,Preliminary SmartTrack Estimates (CCI111),SmartTrack Stations CCI111-02,130896,130125,133953,125916,96015,69087,0,0,0,0,685992,CW,City Wide,Growth Related C05
City Planning,PLACES - CIVIC IMPROVEMENTS,PLACES,0,840,1200,1200,1200,1200,1200,1200,1200,1200,10440,CW,City Wide,Growth Related C05
Transportation Services,RSP Accessible Pedestrian Signals,2022 Adjustment Commitments,-198,1173,1173,0,0,0,0,0,0,0,2148,CW,City Wide,Health and Safety C01
Transportation Services,Peel Gladstone,2022 Commitment Adjustment,765,0,0,0,0,0,0,0,0,0,765,9,Davenport,Growth Related C05
Transportation Services,Mapping and GIS Repository,2023 Adjustment Commitments,287,0,0,0,0,0,0,0,0,0,287,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,City Bridge Rehabilitation,2018 Adjustment - ECS,-549,-557,-566,0,0,0,0,0,0,0,-1672,CW,City Wide,State of Good Repair C03
Transportation Services,City Bridge Rehabilitation,2020 Adjustment Commitments,28936,0,0,0,0,0,0,0,0,0,28936,CW,City Wide,State of Good Repair C03
Transportation Services,Peel Gladstone,2022 Q2 in-year Adjustment,-135,0,0,0,0,0,0,0,0,0,-135,9,Davenport,Growth Related C05
Waterfront Revitalization Initiative,Toronto Waterfront Revitalization Initiative,Leslie Street Lookout 24 Bud Adj,500,0,0,0,0,0,0,0,0,0,500,14,Toronto-Danforth,Growth Related C05
Transportation Services,St Clair TMP:Keele to Old Weston,2021 St Clair TMP St Clair (P&C),10800,46707,0,0,0,0,0,0,0,0,57507,CW,City Wide,Growth Related C05
Transportation Services,St Clair TMP:Keele to Old Weston,2020 Adjustment Commitments,0,-414,0,0,0,0,0,0,0,0,-414,CW,City Wide,Growth Related C05
Transportation Services,GO Transit Expansion City Share,2019 RER Steeles/Kennedy,4400,0,0,0,0,0,0,0,0,0,4400,22,Scarborough-Agincourt,Growth Related C05
Transportation Services,GO Transit Expansion City Share,2021 Adjustment Commitments,0,11000,0,0,0,0,0,0,0,0,11000,CW,City Wide,Growth Related C05
Transportation Services,Regent Park Revitalization,2021 Adjustment Commitments,0,364,0,0,0,0,0,0,0,0,364,CW,City Wide,Growth Related C05
Transportation Services,West Toronto Rail Path Extension,2022 Commitment Adjustment,4912,0,0,0,0,0,0,0,0,0,4912,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,RSP Accessible Pedestrian Signals,Increase Funding - 2017 to  2025,164,164,0,0,0,0,0,0,0,0,328,CW,City Wide,Health and Safety C01
Transportation Services,Guide Rail Program,2023 Adjustment Commitments,0,1000,0,0,0,0,0,0,0,0,1000,CW,City Wide,Health and Safety C01
Transportation Services,Engineering Studies,2023 Adjustment Commitments,640,640,640,2584,1280,0,0,0,0,0,5784,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Engineering Studies,Broadview 2023 Adjustments,0,1707,0,0,0,0,0,0,0,0,1707,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Engineering Studies,2022 Year End Adjustment,-741,0,0,0,0,0,0,0,0,0,-741,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Local Road Rehabilitation,LRR Commitments for 2023 to 2027,16205,17029,17870,18102,0,0,0,0,0,0,69206,CW,City Wide,State of Good Repair C03
Transportation Services,John Street Revitalization Project,2021 Adjustment Commitments,-2094,0,0,0,0,0,0,0,0,0,-2094,10,Spadina-Fort York,Growth Related C05
Transportation Services,John Street Revitalization Project,2021 Adjustment Commitments,0,11500,0,0,0,0,0,0,0,0,11500,10,Spadina-Fort York,Growth Related C05
Transportation Services,John Street Revitalization Project,2023 Adjustment Commitments,-7469,-12788,0,2186,2336,2336,0,0,0,0,-13399,10,Spadina-Fort York,Growth Related C05
Transportation Services,Work for TTC & Others,2017 to 2022 Work for TTC & Others,3200,0,0,0,0,0,0,0,0,0,3200,CW,City Wide,Growth Related C05
Transportation Services,Facility Improvements,2023 Adjustment Commitments,3680,1196,0,0,0,0,0,0,0,0,4876,CW,City Wide,State of Good Repair C03
Transportation Services,RSP Traffic Calming,2023 Adjustment Commitments,0,0,0,302,0,0,0,0,0,0,302,CW,City Wide,Health and Safety C01
Transportation Services,Port Union Road,2023 Adjustment Commitments,436,718,0,0,0,0,0,0,0,0,1154,25,Scarborough-Rouge Park,Growth Related C05
Transportation Services,Surface Network Transit Plan,2023 Commitment Adjustment,-9025,-23312,4832,13761,13761,13791,0,0,0,0,13808,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Surface Network Transit Plan,2023 Commitment Adjustment,-905,-1652,458,1014,1014,1014,0,0,0,0,943,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Dufferin Street Bridge Rehabilitation,2022 Commitment Adjustment,492,182,567,0,0,0,0,0,0,0,1241,CW,City Wide,State of Good Repair C03
Transportation Services,RSP Transportation Safety & Local Improvement,2022 Adjustment Commitments,-1324,0,0,0,0,0,0,0,0,0,-1324,CW,City Wide,Health and Safety C01
Transportation Services,Thunder Woman Healing Lodge,Property Acuqisition,0,230,0,0,0,0,0,0,0,0,230,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Don Mills Crossing Bridge,2023 Adjustment Commitments,-4500,0,0,0,0,0,0,0,0,0,-4500,16,Don Valley East,Growth Related C05
Transportation Services,RSP Traffic Signals Major Modifications,2023 Adjustment Commitments,-38,86,83,192,0,0,0,0,0,0,323,CW,City Wide,Health and Safety C01
Transportation Services,RSP Missing Link Sidewalk,2022 Adjustment Commitments,0,400,400,0,0,0,0,0,0,0,800,CW,City Wide,Health and Safety C01
Transportation Services,RSP Missing Link Sidewalk,2022 Year End Adjustment,0,-7,0,0,0,0,0,0,0,0,-7,CW,City Wide,Health and Safety C01
Transportation Services,F. G. Gardiner Rehabilitation Program,2018 - 2026 FGG AFP Plan B EX20.14,0,47580,0,0,0,0,0,0,0,0,47580,CW,City Wide,State of Good Repair C03
Transportation Services,F. G. Gardiner Rehabilitation Program,2018 - 2026 FGG AFP Plan B EX20.14,0,31470,0,0,0,0,0,0,0,0,31470,CW,City Wide,State of Good Repair C03
Transportation Services,New Courthouse Streetscape,Streetscape for the New Courthouse in 2021,700,0,0,0,0,0,0,0,0,0,700,13,Toronto Centre,Growth Related C05
Transportation Services,Glen Road Pedestrian Bridge,2020 Adjustment Commitments,6000,0,0,0,0,0,0,0,0,0,6000,11,University-Rosedale,Health and Safety C01
Transportation Services,North York Service Road Extension,2022 Commitment Adjustment,1700,0,2300,0,0,0,0,0,0,0,4000,18,Willowdale,Growth Related C05
Transportation Services,North York Service Road Extension,2022 Year End Adjustment,0,-360,0,0,0,0,0,0,0,0,-360,18,Willowdale,Growth Related C05
Transportation Services,Guide Rail Program,2024 Adjustment Commitments,700,1433,0,0,0,0,0,0,0,0,2133,CW,City Wide,Health and Safety C01
Transportation Services,Sidewalks,2018 Adjust - Tactile Domes Installation 2019-202,0,1109,1126,1143,0,0,0,0,0,0,3378,CW,City Wide,State of Good Repair C03
Transportation Services,Sidewalks,2023 Adjustment Commitments,0,15950,0,0,0,0,0,0,0,0,15950,CW,City Wide,State of Good Repair C03
Transportation Services,Sidewalks,2024 Adjustment Commitments,-1000,1000,15208,0,0,0,0,0,0,0,15208,CW,City Wide,State of Good Repair C03
Transportation Services,Neighbourhood Improvements,2022 Commitment Adjustment,1500,2000,0,0,0,0,0,0,0,0,3500,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Major Road Rehabilitation,2021 Adjustment Commitments,0,11000,0,0,0,0,0,0,0,0,11000,CW,City Wide,State of Good Repair C03
Transportation Services,Major Road Rehabilitation,2021 Adjustment Commitments,0,35604,0,0,0,0,0,0,0,0,35604,CW,City Wide,State of Good Repair C03
Fleet Services,Exhibition Place - Fleet Replacement,Ex - Fleet Replacement - 2027,0,0,0,450,0,0,0,0,0,0,450,CW,City Wide,State of Good Repair C03
Fleet Services,Public Health  - Fleet Replacement,PH - Fleet Replacement - 2028,0,0,0,0,53.3,0,0,0,0,0,53.3,CW,City Wide,State of Good Repair C03
Fleet Services,Zoo-Fleet Replacement,Zoo - Fleet Replacement - 2032,0,0,0,0,0,0,0,0,496,0,496,CW,City Wide,State of Good Repair C03
Fleet Services,Purchasing & Materials Mgmt- Fleet Replacement,PMMD - Fleet Replacement - 2026,0,0,108.2,0,0,0,0,0,0,0,108.2,CW,City Wide,State of Good Repair C03
Fleet Services,Municipal Licensing & Standards-Fleet Replacement,MLS - Fleet Replacement - 2031,0,0,0,0,0,0,0,740.3,0,0,740.3,CW,City Wide,State of Good Repair C03
Fleet Services,Transportation-Fleet Replacement,TP - Fleet Replacement - 2029,0,0,0,0,0,2565.7,23091.4,0,0,0,25657.100000000002,CW,City Wide,State of Good Repair C03
Fleet Services,Toronto Water - Fleet Replacement,TW - Fleet Replacement - 2030,0,0,0,0,0,0,17158.1,11438.7,0,0,28596.8,CW,City Wide,State of Good Repair C03
Fleet Services,Engineering & Construction Serv Fleet Replacement,ECS - Fleet Replacement - 2029,0,0,0,0,0,731.8,0,0,0,0,731.8,CW,City Wide,State of Good Repair C03
Fleet Services,Engineering & Construction Serv Fleet Replacement,ECS - Fleet Replacement - 2032,0,0,0,0,0,0,0,0,86.4,0,86.4,CW,City Wide,State of Good Repair C03
Fleet Services,Fleet Services - Fleet Replacement,FSD - Fleet Replacement - 2028,0,0,0,0,55.7,0,0,0,0,0,55.7,CW,City Wide,State of Good Repair C03
Fleet Services,"Parks, Forestry & Recreation-Fleet Replacement",PFR - Fleet Replacement - 2028,0,0,0,0,7256.3,10884.5,0,0,0,0,18140.8,CW,City Wide,State of Good Repair C03
Fleet Services,Fleet - Tools & Equipment,FSD - Tools & Equipment - 2026,0,0,250.6,0,0,0,0,0,0,0,250.6,CW,City Wide,State of Good Repair C03
Fleet Services,Fleet - Tools & Equipment,FSD - Tools & Equipment - 2027,0,0,0,322.1,0,0,0,0,0,0,322.1,CW,City Wide,State of Good Repair C03
Fleet Services,Fleet - Tools & Equipment,FSD- Tools & Equipment - 2031,0,0,0,0,0,0,0,201.2,0,0,201.2,CW,City Wide,State of Good Repair C03
Fleet Services,Fleet - Tools & Equipment,FSD - Tools & Equipment - 2032,0,0,0,0,0,0,0,0,243.2,0,243.2,CW,City Wide,State of Good Repair C03
Fleet Services,Sustainable Fleet Project,Sustainable Fleet Project - 2032,0,0,0,0,0,0,0,0,116.3,0,116.3,CW,City Wide,Legislated C02
Fleet Services,Sustainable Fleet Project,Sustainable Fleet Project - 2033,0,0,0,0,0,0,0,0,0,145.8,145.8,CW,City Wide,Legislated C02
Fleet Services,Sustainable Fleet Project,Sustainable Fleet Project - 2029,0,0,0,0,0,102.6,0,0,0,0,102.6,CW,City Wide,Legislated C02
Fleet Services,Library - Fleet Replacement,TPL - Fleet Replacement - 2026,0,0,103.4,0,0,0,0,0,0,0,103.4,CW,City Wide,State of Good Repair C03
Fleet Services,Paramedics-Fleet Replacement,Paramedics - Fleet Replacement - 2026,0,0,16300,0,0,0,0,0,0,0,16300,CW,City Wide,State of Good Repair C03
Fleet Services,Paramedics-Fleet Replacement,Paramedics - Fleet Replacement - 2027,0,0,0,18500,0,0,0,0,0,0,18500,CW,City Wide,State of Good Repair C03
Fleet Services,Paramedics-Fleet Replacement,Paramedics - Fleet Replacement - 2030,0,0,0,0,0,0,21500,0,0,0,21500,CW,City Wide,State of Good Repair C03
Fleet Services,Paramedics-Fleet Replacement,Paramedics - Fleet Replacement - 2033,0,0,0,0,0,0,0,0,0,26900,26900,CW,City Wide,State of Good Repair C03
Fleet Services,Toronto Community Housing Corp.- Fleet Replacement,TCHC - Fleet Replacement - 2031,0,0,0,0,0,0,0,967.7,0,0,967.7,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,Var Locs - BAS & Component Renewals,0,0,3000,2000,3000,2000,2000,2000,2000,2000,18000,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin Str - Various Projects - Mech.2,0,46.5,267,115,245,0,0,0,0,0,673.5,6,York Centre,State of Good Repair C03
